Tangra v3.8.0.0
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,17,23,2,00,NaN,yes,483,0,25,0,no
2,ComparisonStar,17,23,,NaN,yes,486,0,353,0,no
3,ComparisonStar,17,23,,NaN,yes,493,0,737,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
222,[01:57:27.654],686.00,578.00,698.00,691.00,690.00,578.00
223,[01:57:27.695],683.00,578.00,693.00,696.00,669.00,578.00
224,[01:57:27.735],685.00,531.00,706.00,687.00,680.00,578.00
225,[01:57:27.775],673.00,675.00,689.00,672.00,697.00,578.00
226,[01:57:27.815],706.00,530.00,676.00,686.00,674.00,564.00
227,[01:57:27.855],694.00,521.00,688.00,684.00,689.00,578.00
228,[01:57:27.895],687.00,578.00,678.00,670.00,676.00,578.00
229,[01:57:27.935],682.00,578.00,685.00,693.00,684.00,560.00
230,[01:57:27.975],674.00,532.00,688.00,695.00,680.00,558.00
231,[01:57:28.016],17296,13386,22581,22551,28455,23520
232,[01:57:28.055],49872,38287,49352,49130,48474,39853
233,[01:57:28.096],49765,38306,49036,49260,42845,35547
234,[01:57:28.136],6827.0,5148.0,1322.0,1292.0,686.00,576.00
235,[01:57:28.176],697.00,578.00,692.00,664.00,697.00,578.00
236,[01:57:28.216],700.00,529.00,687.00,672.00,683.00,558.00
237,[01:57:28.256],688.00,534.00,698.00,686.00,687.00,578.00
238,[01:57:28.296],682.00,673.00,677.00,679.00,688.00,578.00
239,[01:57:28.336],692.00,578.00,679.00,679.00,681.00,578.00
240,[01:57:28.376],673.00,578.00,688.00,677.00,675.00,567.00
241,[01:57:28.416],683.00,535.00,691.00,678.00,671.00,578.00
242,[01:57:28.457],673.00,674.00,689.00,692.00,689.00,563.00
243,[01:57:28.497],693.00,532.00,688.00,680.00,693.00,578.00
244,[01:57:28.537],688.00,519.00,695.00,680.00,674.00,560.00
245,[01:57:28.577],694.00,578.00,679.00,695.00,685.00,575.00
246,[01:57:28.617],678.00,673.00,685.00,683.00,693.00,578.00
247,[01:57:28.657],664.00,662.00,684.00,685.00,673.00,555.00
248,[01:57:28.697],677.00,544.00,688.00,688.00,675.00,578.00
249,[01:57:28.737],689.00,528.00,686.00,675.00,686.00,578.00
250,[01:57:28.777],685.00,578.00,689.00,684.00,673.00,578.00
251,[01:57:28.818],702.00,534.00,680.00,681.00,681.00,578.00
252,[01:57:28.858],687.00,578.00,698.00,687.00,686.00,557.00
253,[01:57:28.898],683.00,537.00,703.00,683.00,687.00,578.00
254,[01:57:28.938],704.00,578.00,681.00,683.00,696.00,578.00
255,[01:57:28.978],691.00,578.00,687.00,681.00,688.00,564.00
256,[01:57:29.018],20498,15932,25756,25913,31839,26209
257,[01:57:29.058],49849,38250,49255,49375,48331,39849
258,[01:57:29.098],49642,38199,48146,47994,40873,33771
259,[01:57:29.138],4790.0,3576.0,677.00,691.00,695.00,570.00
260,[01:57:29.178],691.00,578.00,689.00,677.00,679.00,564.00
261,[01:57:29.219],676.00,535.00,683.00,686.00,674.00,578.00
262,[01:57:29.259],697.00,578.00,678.00,679.00,678.00,557.00
263,[01:57:29.299],690.00,578.00,684.00,679.00,690.00,567.00
264,[01:57:29.339],684.00,536.00,674.00,692.00,668.00,567.00
265,[01:57:29.379],678.00,578.00,692.00,677.00,686.00,578.00
266,[01:57:29.419],680.00,578.00,691.00,674.00,685.00,576.00
267,[01:57:29.460],698.00,578.00,684.00,695.00,684.00,578.00
268,[01:57:29.500],681.00,671.00,686.00,680.00,693.00,578.00
269,[01:57:29.539],683.00,578.00,696.00,683.00,681.00,578.00
270,[01:57:29.580],668.00,578.00,694.00,682.00,696.00,578.00
271,[01:57:29.620],696.00,578.00,674.00,673.00,698.00,566.00
272,[01:57:29.660],672.00,521.00,694.00,670.00,686.00,578.00
273,[01:57:29.700],674.00,578.00,683.00,683.00,697.00,578.00
274,[01:57:29.740],670.00,536.00,693.00,688.00,688.00,578.00
275,[01:57:29.780],683.00,578.00,678.00,683.00,688.00,564.00
276,[01:57:29.820],676.00,578.00,700.00,674.00,684.00,578.00
277,[01:57:29.860],667.00,520.00,675.00,702.00,699.00,567.00
278,[01:57:29.901],674.00,519.00,697.00,677.00,689.00,578.00
279,[01:57:29.941],676.00,539.00,701.00,677.00,690.00,562.00
280,[01:57:29.981],685.00,525.00,690.00,694.00,685.00,578.00
281,[01:57:30.021],23995,18518,29150,29268,35178,28782
282,[01:57:30.061],49743,38186,49242,49167,48420,39937
283,[01:57:30.101],49715,38191,44522,44701,37434,31010
284,[01:57:30.141],1530.0,1053.0,664.00,692.00,679.00,578.00
285,[01:57:30.181],688.00,522.00,702.00,700.00,681.00,555.00
286,[01:57:30.221],683.00,545.00,688.00,691.00,678.00,578.00
287,[01:57:30.261],683.00,578.00,682.00,702.00,705.00,578.00
288,[01:57:30.302],682.00,578.00,704.00,694.00,684.00,578.00
289,[01:57:30.342],681.00,578.00,688.00,696.00,684.00,578.00
290,[01:57:30.382],689.00,536.00,663.00,676.00,681.00,548.00
291,[01:57:30.422],686.00,521.00,664.00,688.00,693.00,578.00
292,[01:57:30.462],680.00,662.00,680.00,702.00,702.00,578.00
293,[01:57:30.502],683.00,578.00,691.00,685.00,677.00,578.00
294,[01:57:30.542],681.00,670.00,680.00,695.00,677.00,560.00
295,[01:57:30.582],697.00,540.00,673.00,693.00,668.00,578.00
296,[01:57:30.622],693.00,530.00,681.00,687.00,693.00,570.00
